date,Bank_Momentum,VNIndex_Momentum,Excess Return
2025-06-02,0.9471428571428572,0.28,0.6671428571428571
2025-06-03,0.30333333333333334,0.82,-0.5166666666666666
2025-06-04,-0.268095238095238,-0.11,-0.158095238095238
2025-06-05,-0.5361904761904762,-0.27,-0.2661904761904762
2025-06-06,-0.6033333333333333,-0.91,0.30666666666666675
2025-06-09,-0.8361904761904762,-1.45,0.6138095238095238
2025-06-10,0.5138095238095238,0.43,0.08380952380952383
2025-06-11,0.0023809523809523777,-0.08,0.08238095238095237
2025-06-12,1.4766666666666666,0.59,0.8866666666666666
2025-06-13,-0.5738095238095239,-0.57,-0.003809523809523929
2025-06-16,1.4133333333333333,1.72,-0.30666666666666664
2025-06-17,0.63,0.72,-0.08999999999999997
2025-06-18,-0.36142857142857143,-0.06,-0.30142857142857143
2025-06-19,0.22523809523809527,0.39,-0.16476190476190475
2025-06-20,0.6771428571428572,-0.2,0.8771428571428572
2025-06-23,-0.6585714285714286,0.65,-1.3085714285714287
2025-06-24,0.42952380952380953,0.63,-0.20047619047619047
2025-06-25,0.31857142857142856,0.0,0.31857142857142856
2025-06-26,-0.043333333333333335,-0.08,0.03666666666666667
2025-06-27,0.17714285714285719,0.42,-0.2428571428571428
2025-06-30,0.2042857142857143,0.34,-0.13571428571428573
2025-07-01,0.18047619047619048,0.13,0.05047619047619048
2025-07-02,0.6252380952380953,0.49,0.13523809523809527
2025-07-03,0.25761904761904764,-0.19,0.44761904761904764
2025-07-04,0.6152380952380953,0.36,0.25523809523809526
2025-07-07,2.2804761904761905,1.09,1.1904761904761905
2025-07-08,0.5461904761904762,0.96,-0.41380952380952374
2025-07-09,1.162857142857143,1.12,0.04285714285714293
2025-07-10,0.2965,1.0,-0.7035
2025-07-11,0.2925,0.84,-0.5475
2025-07-14,0.7939999999999999,0.87,-0.07600000000000007
2025-07-15,-0.0865,-0.66,0.5735
2025-07-16,1.027,0.45,0.577
2025-07-17,0.48550000000000004,1.56,-1.0745
2025-07-18,0.776,0.49,0.28600000000000003
2025-07-21,0.471,-0.82,1.291
2025-07-22,1.6566666666666667,1.65,0.006666666666666821
2025-07-23,0.5042857142857142,0.18,0.32428571428571423
2025-07-24,1.5157142857142858,0.58,0.9357142857142858
2025-07-25,1.2642857142857142,0.66,0.6042857142857142
2025-07-28,3.3476190476190473,1.72,1.6276190476190473
2025-07-29,-5.344285714285714,-4.11,-1.234285714285714
2025-07-30,1.8090476190476192,0.95,0.8590476190476193
2025-07-31,0.48761904761904773,-0.34,0.8276190476190477
2025-08-01,-0.4723809523809524,0.95,-1.4223809523809523
2025-08-04,2.87,1.36,1.51
2025-08-05,0.8476190476190476,1.24,-0.3923809523809524
2025-08-06,2.1785714285714284,1.72,0.4585714285714284
2025-08-07,1.6638095238095236,0.51,1.1538095238095236
2025-08-08,0.04476190476190472,0.2,-0.15523809523809529
2025-08-11,1.0833333333333333,0.98,0.10333333333333328
2025-08-12,0.6309523809523809,0.49,0.14095238095238094
2025-08-13,0.6333333333333333,0.21,0.42333333333333334
2025-08-14,4.10625,1.81,2.29625
2025-08-15,-0.6076190476190476,-0.65,0.04238095238095241
2025-08-18,0.06857142857142857,-0.12,0.18857142857142856
2025-08-19,1.8466666666666667,1.09,0.7566666666666666
2025-08-20,1.1390476190476189,0.61,0.5290476190476189
2025-08-21,4.065714285714286,1.42,2.645714285714286
2025-08-22,-2.633809523809524,-2.52,-0.11380952380952403
2025-08-25,-5.413333333333334,-1.91,-3.503333333333334
2025-08-26,3.8585714285714285,3.32,0.5385714285714287
2025-08-27,-0.57,0.32,-0.8899999999999999
2025-08-28,0.660952380952381,0.48,0.18095238095238098
2025-08-29,0.9633333333333334,0.08,0.8833333333333334
2025-09-03,0.2471428571428571,-0.05,0.2971428571428571
2025-09-04,1.1171428571428572,0.89,0.2271428571428572
2025-09-05,-2.669047619047619,-1.73,-0.9390476190476189
2025-09-08,-4.504761904761905,-2.55,-1.954761904761905
2025-09-09,0.8657142857142857,0.79,0.07571428571428562
2025-09-10,0.3566666666666667,0.36,-0.0033333333333332993
2025-09-11,0.2123809523809524,0.88,-0.6676190476190476
2025-09-12,0.014285714285714277,0.57,-0.5557142857142857
2025-09-15,0.8999999999999999,1.06,-0.16000000000000014
2025-09-16,1.1052380952380951,-0.24,1.3452380952380951
2025-09-17,-0.7928571428571428,-0.59,-0.20285714285714285
2025-09-18,-0.8490476190476192,-0.35,-0.4990476190476192
2025-09-19,-0.9428571428571428,-0.39,-0.5528571428571428
2025-09-22,-1.4590476190476191,-1.46,0.0009523809523808158
2025-09-23,-0.11619047619047619,0.05,-0.1661904761904762
2025-09-24,2.2395238095238095,1.36,0.8795238095238094
2025-09-25,-0.19142857142857142,0.52,-0.7114285714285714
2025-09-26,-1.0576190476190477,-0.32,-0.7376190476190476
2025-09-29,-0.2595238095238095,0.35,-0.6095238095238095
2025-09-30,0.025714285714285717,-0.29,0.3157142857142857
2025-10-01,1.5314285714285714,0.2,1.3314285714285714
2025-10-02,-0.46380952380952384,-0.74,0.27619047619047615
2025-10-03,-1.0809523809523809,-0.42,-0.660952380952381
2025-10-06,3.4490476190476196,3.02,0.42904761904761957
2025-10-07,-1.2795238095238095,-0.6,-0.6795238095238095
2025-10-08,0.5147619047619048,0.74,-0.22523809523809524
2025-10-09,1.0942857142857143,1.1,-0.005714285714285783
2025-10-10,0.3223809523809524,1.81,-1.4876190476190476
2025-10-13,-0.10285714285714287,1.01,-1.112857142857143
2025-10-14,-0.7904761904761906,-0.23,-0.5604761904761906
2025-10-15,0.4480952380952381,-0.18,0.628095238095238
2025-10-16,0.17571428571428568,0.51,-0.3342857142857143
2025-10-17,-1.5114285714285713,-2.02,0.5085714285714287
2025-10-20,-5.4714285714285715,-5.47,-0.0014285714285717788
2025-10-21,1.4861904761904763,1.65,-0.16380952380952363
2025-10-22,0.13571428571428573,0.91,-0.7742857142857142
2025-10-23,-0.14476190476190476,0.51,-0.6547619047619048
2025-10-24,-1.0214285714285714,-0.23,-0.7914285714285714
2025-10-27,-1.439047619047619,-1.82,0.38095238095238115
2025-10-28,1.856190476190476,1.69,0.166190476190476
2025-10-29,1.697142857142857,0.32,1.377142857142857
2025-10-30,-1.1261904761904762,-0.96,-0.16619047619047622
2025-10-31,-1.83,-1.79,-0.040000000000000036
2025-11-03,-2.0742857142857143,-1.38,-0.6942857142857144
2025-11-04,2.4847619047619047,2.16,0.3247619047619046
2025-11-05,-0.42428571428571427,0.18,-0.6042857142857143
2025-11-06,-1.1214285714285714,-0.74,-0.38142857142857145
2025-11-07,-2.217142857142857,-2.65,0.43285714285714283
2025-11-10,-0.8123809523809523,-1.16,0.3476190476190476
2025-11-11,0.7247619047619048,0.83,-0.10523809523809513
2025-11-12,1.87,2.4,-0.5299999999999998
2025-11-13,-0.41571428571428576,-0.03,-0.3857142857142858
2025-11-14,-0.08523809523809524,0.25,-0.3352380952380952
2025-11-17,1.2147619047619047,1.16,0.05476190476190479
2025-11-18,0.5885714285714285,0.33,0.2585714285714285
2025-11-19,-0.6557142857142857,-0.66,0.004285714285714337
2025-11-20,-0.12333333333333332,0.42,-0.5433333333333333
2025-11-21,-0.3685714285714286,-0.06,-0.3085714285714286
2025-11-24,-0.19857142857142857,0.79,-0.9885714285714287
2025-11-25,-1.100952380952381,-0.46,-0.6409523809523809
2025-11-26,1.2880952380952382,1.2,0.08809523809523823
2025-11-27,0.47285714285714286,0.24,0.23285714285714287
2025-11-28,-0.4628571428571429,0.4,-0.862857142857143
2025-12-01,-0.3314285714285714,0.63,-0.9614285714285714
2025-12-02,0.3519047619047619,0.9,-0.5480952380952382
2025-12-03,2.4747619047619045,0.86,1.6147619047619046
2025-12-04,0.67,0.32,0.35000000000000003
2025-12-05,-1.1652380952380952,0.23,-1.3952380952380952
2025-12-08,-0.9080952380952381,0.71,-1.618095238095238
2025-12-09,-1.2142857142857142,-0.37,-0.8442857142857142
2025-12-10,0.47714285714285715,-1.61,2.087142857142857
2025-12-11,-0.7233333333333333,-1.17,0.44666666666666666
2025-12-12,-3.0357142857142856,-3.06,0.024285714285714466
2025-12-15,-0.4028571428571429,-0.05,-0.3528571428571429
2025-12-16,2.4899999999999998,2.02,0.46999999999999975
2025-12-17,-0.30333333333333334,-0.33,0.026666666666666672
2025-12-18,0.5571428571428572,0.2,0.35714285714285715
2025-12-19,0.6976190476190476,1.63,-0.9323809523809523
2025-12-22,2.1366666666666667,2.74,-0.6033333333333335
2025-12-23,-0.48666666666666664,1.21,-1.6966666666666665
2025-12-24,0.7990476190476191,0.6,0.19904761904761914
2025-12-25,-1.4333333333333333,-2.24,0.8066666666666669
2025-12-26,-0.41904761904761906,-0.75,0.33095238095238094
2025-12-29,0.11952380952380952,1.45,-1.3304761904761904
2025-12-30,0.7628571428571428,0.69,0.07285714285714284
2025-12-31,0.1780952380952381,1.0,-0.8219047619047619
